"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: bufferSize","Param: charset","Param: sizeInMb"
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"34,596140","0,129331","s/op",1024,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,358586","0,002962","s/op",1024,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"5,244840","0,045302","s/op",1024,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"18,059270","0,293771","s/op",1024,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"37,316393","1,137196","s/op",1024,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,406575","0,001987","s/op",2048,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,935800","0,072057","s/op",2048,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"14,463527","0,598733","s/op",2048,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"29,234208","1,339988","s/op",2048,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,351555","0,010097","s/op",2048,ISO-8859-1,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,307147","0,061891","s/op",2048,ISO-8859-1,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"17,059681","0,859917","s/op",2048,ISO-8859-1,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"33,594920","1,848873","s/op",2048,ISO-8859-1,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,357642","0,037124","s/op",2048,US-ASCII,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"3,418908","0,036896","s/op",2048,US-ASCII,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"17,534270","0,917847","s/op",2048,US-ASCII,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"34,842940","1,557249","s/op",2048,US-ASCII,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,343809","0,020629","s/op",4096,UTF-8,10
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"2,585168","0,028303","s/op",4096,UTF-8,100
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"13,385024","0,674573","s/op",4096,UTF-8,500
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"25,865639","0,842081","s/op",4096,UTF-8,1000
"de.ims.icarus2.exp.io.ReadBenchmark.chars_CharsetDecoder_directByteBuffer_SeekableByteChannel","ss",1,10,"0,328849","0,005920","s/op",4096,ISO-8859-1,10
